Welcome to the server!
Freq (HZ): 50, random value: 50
Freq (HZ): 72, random value: 72
Freq (HZ): 55, random value: 55
Freq (HZ): 140, random value: 140
Freq (HZ): 240, random value: 240
Freq (HZ): 208, random value: 208
Freq (HZ): 104, random value: 104
Freq (HZ): 76, random value: 76
Freq (HZ): 361, random value: 361
Freq (HZ): 328, random value: 328
Freq (HZ): 130, random value: 130
Freq (HZ): 78, random value: 78
Freq (HZ): 60, random value: 60
Freq (HZ): 188, random value: 188
Freq (HZ): 106, random value: 106
Freq (HZ): 66, random value: 66
Freq (HZ): 60, random value: 60
Freq (HZ): 69, random value: 69
Freq (HZ): 54, random value: 54
Freq (HZ): 153, random value: 153
Freq (HZ): 93, random value: 93
Freq (HZ): 78, random value: 78
Freq (HZ): 57, random value: 57
Freq (HZ): 136, random value: 136
Freq (HZ): 108, random value: 108
Freq (HZ): 116, random value: 116
Freq (HZ): 74, random value: 74
Freq (HZ): 57, random value: 57
Freq (HZ): 194, random value: 194
Freq (HZ): 151, random value: 151
Freq (HZ): 116, random value: 116
Freq (HZ): 67, random value: 67
Freq (HZ): 53, random value: 53
Freq (HZ): 136, random value: 136
Freq (HZ): 139, random value: 139
Freq (HZ): 135, random value: 135
Freq (HZ): 72, random value: 72
Freq (HZ): 57, random value: 57
Freq (HZ): 188, random value: 188
Freq (HZ): 129, random value: 129
Freq (HZ): 81, random value: 81
Freq (HZ): 62, random value: 62
Freq (HZ): 355, random value: 355
Freq (HZ): 130, random value: 130
Freq (HZ): 79, random value: 79
Freq (HZ): 59, random value: 59
Freq (HZ): 78, random value: 78
Freq (HZ): 65, random value: 65
Freq (HZ): 223, random value: 223
Freq (HZ): 138, random value: 138
Freq (HZ): 163, random value: 163
Freq (HZ): 75, random value: 75
Freq (HZ): 64, random value: 64
Freq (HZ): 160, random value: 160
Freq (HZ): 210, random value: 210
Freq (HZ): 94, random value: 94
Freq (HZ): 75, random value: 75
Freq (HZ): 56, random value: 56
Freq (HZ): 244, random value: 244
Freq (HZ): 147, random value: 147
Freq (HZ): 88, random value: 88
Freq (HZ): 91, random value: 91
Freq (HZ): 74, random value: 74
Freq (HZ): 58, random value: 58
Freq (HZ): 220, random value: 220
Freq (HZ): 107, random value: 107
Freq (HZ): 72, random value: 72
Freq (HZ): 258, random value: 258
Freq (HZ): 125, random value: 125
Freq (HZ): 80, random value: 80
Freq (HZ): 60, random value: 60
Freq (HZ): 225, random value: 225
Freq (HZ): 143, random value: 143
Freq (HZ): 620, random value: 620
Freq (HZ): 124, random value: 124
Freq (HZ): 81, random value: 81
Freq (HZ): 87, random value: 87
Freq (HZ): 65, random value: 65
Freq (HZ): 209, random value: 209
Freq (HZ): 144, random value: 144
Freq (HZ): 89, random value: 89
Freq (HZ): 78, random value: 78
Freq (HZ): 78, random value: 78
Freq (HZ): 133, random value: 133
Freq (HZ): 117, random value: 117
Freq (HZ): 74, random value: 74
Freq (HZ): 56, random value: 56
Freq (HZ): 189, random value: 189
Freq (HZ): 100, random value: 100
Freq (HZ): 69, random value: 69
Freq (HZ): 54, random value: 54
Freq (HZ): 150, random value: 150
Freq (HZ): 88, random value: 88
Freq (HZ): 59, random value: 59
Freq (HZ): 179, random value: 179
Freq (HZ): 109, random value: 109
Freq (HZ): 66, random value: 66
Freq (HZ): 229, random value: 229
Freq (HZ): 108, random value: 108
Freq (HZ): 75, random value: 75
Freq (HZ): 57, random value: 57
Freq (HZ): 167, random value: 167
Freq (HZ): 116, random value: 116
Freq (HZ): 57, random value: 57
Freq (HZ): 198, random value: 198
Freq (HZ): 121, random value: 121
Freq (HZ): 69, random value: 69
Freq (HZ): 54, random value: 54
